macreated	dbname	activeskucount	totalactiveskucount	storefronts	ctype	kctype	chargeamount	PrimaryStorefront
39374.6298611111	macm1154	7559	7559	1	6	0	145	10
38779.5916666667	macm360	908	908	1	6	0	146	10
39041.7493055556	macm788	121	121	1	6	0	245	2
42591.5375	macm3508	27361	27361	1	6	0	295	10
39351.4652777778	macm1121	224	224	16	6	2	313	10
39513.4965277778	macm1301	7160	7160	1	6	0	348	9
39479.6444444444	macm1274	14303	14303	1	6	0	348	10
39170.5333333333	macm916	1862	1862	4	6	0	400	10
40059.6222222222	macm2455	1	1	1	6	1	452	10
40746.6152777778	macm2724	5584	5584	1	6	0	487	12
41171.5805555556	macm2989	533228	533228	1	6	0	495	10
39253.6527777778	macm1006	322254	349412	3	6	0	500	1
41514.4020833333	macm3181	7917	7927	1	6	0	522	11
42569.6333333333	macm3502	1586	1586	1	6	0	556	10
40212.3791666667	macm2484	125218	148163	1	6	0	556	13
39042.5138888889	macm791	57300	57300	5	6	0	626	10
40731.6152777778	macm2711	660	660	1	6	0	626	10
40819.7256944444	macm2761	2535	2535	1	6	0	661	12
41540.4763888889	macm3194	20300	20300	1	6	0	672	11
40330.6222222222	macm2540	4456	4456	1	6	0	695	10
41779.5555555556	macm3310	63724	63724	1	6	0	695	12
41572.4097222222	macm3221	33051	33051	1	6	0	695	10
41509.7048611111	macm3180	5972	5972	1	6	0	695	10
39871.3861111111	macm1610	4460	4460	1	6	0	695	10
40050.7631944444	macm2454	4133	4147	1	6	0	695	10
41194.5256944444	macm3001	2059	2059	1	6	0	695	34
39434.5152777778	macm1251	15	15	1	6	0	695	3
42033.4513888889	macm3399	231	231	1	6	0	695	10
38967.6104166667	macm710	6583	7139	2	6	0	695	10
38924.7375	macm679	84288	121957	1	6	0	716	10
41536.3777777778	macm3193	42683	42683	1	6	2	795	14
42349.6083333333	macm3478	18036	18036	1	6	0	822	10
41299.7305555556	macm3079	15262	15262	1	6	0	834	11
39185.6256944444	macm921	2239	2241	2	6	0	850	10
40520.4583333333	macm2621	34317	34317	1	6	0	895	10
42689.6284722222	macm3511	140045	140045	1	6	0	895	10
41281.4305555556	macm3070	44087	44087	1	6	0	895	11
41551.4673611111	macm3201	40886	40886	1	6	0	972	11
41520.4409722222	macm3189	412	412	1	6	2	995	11
39666.6777777778	macm1471	31985	31985	9	6	0	1004	10
42499.6	macm3492	17029	17029	1	6	0	1095	36
40520.4256944444	macm2620	85535	85535	1	6	0	1101	10
42103.7361111111	macm3416	32806	32806	1	6	0	1295	11
41765.6076388889	macm3298	31021	31021	1	6	0	1295	11
39940.7145833333	macm2435	119057	119057	1	6	0	1297	10
40723.6618055556	macm2707	94745	94745	1	6	0	1789	10
40430.4916666667	macm2582	103647	103647	1	6	1	1790	10
40515.4222222222	macm2616	46258	46258	1	6	0	1795	1
40343.5395833333	macm2543	12954	12954	1	6	0	1795	10
38805.5104166667	macm442	64532	64532	3	6	0	1795	20
42277.7229166667	macm3459	1676280	1676280	1	6	0	1895	36
39006.4104166667	macm758	7930	7930	3	6	0	1995	10
40276.5	macm2506	30834	30834	1	6	0	1995	10
41304.4284722222	macm3081	18712	18712	1	6	1	2290	26
41177.4375	macm2991	467963	467963	1	6	0	2395	10
39854.6763888889	macm1595	330170	330170	2	6	0	3395	10
41330.6625	macm3103	601009	601009	1	6	2	4390	10
39841.6673611111	macm1580	1030347	1030347	2	6	0	4625	9
38761.5506944444	macm309	472234	515347	2	6	0	7622	10
							70665	
